"concept_id","concept_name","concept_code","vocabulary_id","pcornet_vocabulary_id","category","ingredient"
42824304,"hydrochlorothiazide 12.5 MG / losartan potassium 100 MG Oral Tablet","46708044991","NDC","ND","arb","losartan"
43166805,"valsartan 80 MG Delayed Release Oral Tablet [VALSARTAN ISOMED] Box of 30 by TEVA","OMOP507173","RxNorm Extension","RX","arb","valsartan"
21091813,"Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / olmesartan 20 MG Oral Tablet [Sevikar] by Daiichi Sankyo","OMOP365564","RxNorm Extension","RX","arb","olmesartan"
43157330,"eprosartan 300 MG Delayed Release Oral Tablet Box of 56","OMOP450079","RxNorm Extension","RX","arb","eprosartan"
43265903,"candesartan 16 MG Oral Tablet Box of 30 by Auro","OMOP571283","RxNorm Extension","RX","arb","candesartan"
42657436,"Hydrochlorothiazide 25 MG / irbesartan 300 MG Oral Tablet Box of 98 by Eurogenerics","OMOP4869006","RxNorm Extension","RX","arb","irbesartan"
42938530,"Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [COAPRTAN]","OMOP4665203","RxNorm Extension","RX","arb","irbesartan"
43147206,"irbesartan 150 MG Delayed Release Oral Tablet Box of 56","OMOP459985","RxNorm Extension","RX","arb","irbesartan"
42930355,"Amlodipine 5 MG / telmisartan 40 MG [TELMIDUET]","OMOP4657121","RxNorm Extension","RX","arb","telmisartan"
45029182,"Losartan Potassium 100 MG Oral Tablet","00781580710","NDC","ND","arb","losartan"
44843097,"Losartan Potassium 100 mg/1 TABLET, FILM COATED [Losartan Potassium]","063739515","NDC","ND","arb","losartan"
42969125,"olmesartan 40 MG / rosuvastatin 10 MG [OLOSTAR]","OMOP4695562","RxNorm Extension","RX","arb","olmesartan"
44487469,"olmesartan medoxomil 5mg/1 ORAL TABLET, COATED","678770445","NDC","ND","arb","olmesartan"
46364387,"telmisartan 20 MG Oral Tablet","65862086703","NDC","ND","arb","telmisartan"
43587750,"Amlodipine / olmesartan Oral Tablet [Vocado]","OMOP687204","RxNorm Extension","RX","arb","olmesartan"
43173142,"candesartan 32 MG Oral Tablet [CANDESARTAN KRKA] Box of 30","OMOP493410","RxNorm Extension","RX","arb","candesartan"
42938453,"Hydrochlorothiazide 12.5 MG / telmisartan 40 MG [MICARDIS PLUS]","OMOP4665129","RxNorm Extension","RX","arb","telmisartan"
43202324,"irbesartan 150 MG Delayed Release Oral Tablet [IRBESARTAN ARROW GENERIQUES] Box of 90 by Arrow","OMOP460016","RxNorm Extension","RX","arb","irbesartan"
35751352,"Hydrochlorothiazide 12.5 MG / Losartan 50 MG Delayed Release Oral Tablet by DE","OMOP2752813","RxNorm Extension","RX","arb","losartan"
40720879,"candesartan 32 MG Oral Tablet Box of 28 by Almus","OMOP4736806","RxNorm Extension","RX","arb","candesartan"
35748080,"irbesartan 150 MG Delayed Release Oral Tablet by Ranbaxy","OMOP2749541","RxNorm Extension","RX","arb","irbesartan"
43189882,"candesartan / Hydrochlorothiazide Oral Tablet [COKENZEN]","OMOP447577","RxNorm Extension","RX","arb","candesartan"
43761898,"Hydrochlorothiazide 12.5 MG / Losartan 50 MG [Losarplus Al]","OMOP791872","RxNorm Extension","RX","arb","losartan"
2063354,"amlodipine 5 MG / losartan 45.8 MG Oral Tablet [COSCA EX]","OMOP4964599","RxNorm Extension","RX","arb","losartan"
42950406,"Amlodipine 10 MG / Losartan 50 MG Oral Tablet [DONGKOOZALTAN]","OMOP4676982","RxNorm Extension","RX","arb","losartan"
41012310,"candesartan 32 MG Oral Tablet [Candesartan Stada] Box of 56 by Stada","OMOP2210272","RxNorm Extension","RX","arb","candesartan"
42635586,"valsartan 80 MG Oral Tablet","60687062311","NDC","ND","arb","valsartan"
41069816,"telmisartan 20 MG Oral Tablet [Telmisartan Ratiopharm] Box of 28 by Ratiopharm","OMOP2267778","RxNorm Extension","RX","arb","telmisartan"
42930374,"Amlodipine 5 MG / telmisartan 40 MG [TWYNPLUS]","OMOP4657139","RxNorm Extension","RX","arb","telmisartan"
43037096,"telmisartan 80 MG Oral Tablet Box of 90 by Ratiopharm","OMOP4852135","RxNorm Extension","RX","arb","telmisartan"
40984747,"Hydrochlorothiazide 25 MG / olmesartan 40 MG [Olmetec Plus Westen Pharma]","OMOP2182709","RxNorm Extension","RX","arb","olmesartan"
42972640,"atorvastatin 20 MG / irbesartan 150 MG Oral Tablet","OMOP4699047","RxNorm Extension","RX","arb","irbesartan"
43840326,"candesartan 16 MG Oral Tablet [Candesartan Abz]","OMOP695385","RxNorm Extension","RX","arb","candesartan"
35742300,"eprosartan 300 MG Delayed Release Oral Tablet [Teveten] Box of 56 by Mawdsley-Brooks","OMOP2743761","RxNorm Extension","RX","arb","eprosartan"
44971378,"candesartan cilexetil 32 MG Oral Tablet [Atacand]","61113003231","NDC","ND","arb","candesartan"
41063261,"Hydrochlorothiazide 12.5 MG / valsartan 320 MG Oral Tablet [Valsartan Hexal]","OMOP2261223","RxNorm Extension","RX","arb","valsartan"
995026,"Hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet [Telmisart Hct Acco] Box of 28 by Accord","OMOP4821538","RxNorm Extension","RX","arb","telmisartan"
41299854,"Losartan Delayed Release Oral Tablet [Cardopal]","OMOP2497816","RxNorm Extension","RX","arb","losartan"
44907468,"losartan potassium and hydrochlorothiazide 50mg/1 / 12.5mg/1 ORAL TABLET, FILM COATED","000937367","NDC","ND","arb","losartan"
41250312,"irbesartan 300 MG Oral Tablet [Irbesartan Actavis] Box of 98","OMOP2448274","RxNorm Extension","RX","arb","irbesartan"
42868057,"losartan potassium 50 MG Oral Tablet","72865014210","NDC","ND","arb","losartan"
45011412,"Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet","00603408816","NDC","ND","arb","irbesartan"
44069846,"Losartan Oral Tablet [Pms-Losartan]","OMOP1064477","RxNorm Extension","RX","arb","losartan"
45346607,"Losartan Potassium 100 MG Oral Tablet","60760013090","NDC","ND","arb","losartan"
42955717,"olmesartan 10 MG Oral Tablet [OLPRE]","OMOP4682256","RxNorm Extension","RX","arb","olmesartan"
46250305,"amlodipine 10 MG / hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet","49884018511","NDC","ND","arb","valsartan"
44059742,"telmisartan 40 MG Oral Tablet [Auro-Telmisartan]","OMOP1054373","RxNorm Extension","RX","arb","telmisartan"
42950659,"Hydrochlorothiazide 12.5 MG / Losartan 50 MG Oral Tablet [LOSARTIN PLUS]","OMOP4677232","RxNorm Extension","RX","arb","losartan"
36273087,"irbesartan 300 MG Oral Tablet [IRBESARTAN TEVA] Box of 98","OMOP3123962","RxNorm Extension","RX","arb","irbesartan"
43160330,"Losartan 50 MG Delayed Release Oral Tablet [LOSARTAN RANBAXY] Box of 84","OMOP477106","RxNorm Extension","RX","arb","losartan"
2035586,"hydrochlorothiazide / olmesartan Oral Tablet [OLMEDIL PLUS]","OMOP4934737","RxNorm Extension","RX","arb","olmesartan"
42950928,"Losartan 100 MG [COSAL]","OMOP4677501","RxNorm Extension","RX","arb","losartan"
44841556,"losartan potassium 50 MG Oral Tablet","00781570131","NDC","ND","arb","losartan"
43287402,"Amlodipine 10 MG / telmisartan 40 MG Oral Tablet [PRITOR] Box of 7","OMOP542754","RxNorm Extension","RX","arb","telmisartan"
