concept_id,concept_code,concept_name,vocabulary_id
4283352,67359005,Pre-eclampsia added to pre-existing hypertension,SNOMED
141084,198997005,Pre-eclampsia or eclampsia with pre-existing hypertension,SNOMED
135601,198999008,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered,SNOMED
134414,199000005,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication,SNOMED
136743,199002002,Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered,SNOMED
4062550,199003007,Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication,SNOMED
4146816,34694006,Pre-existing hypertension complicating AND/OR reason for care during childbirth,SNOMED
4277110,65402008,Pre-existing hypertension complicating AND/OR reason for care during pregnancy,SNOMED
4151903,31407004,Pre-existing hypertension complicating AND/OR reason for care during puerperium,SNOMED
321074,199005000,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium",SNOMED
4311246,86041002,Pre-existing hypertension in obstetric context,SNOMED
45757356,118781000119108,Pre-existing hypertensive chronic kidney disease in mother complicating pregnancy,SNOMED
45757137,10757401000119100,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth,SNOMED
4057978,199007008,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium",SNOMED
4057979,199008003,"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium",SNOMED
4167493,48194001,Pregnancy-induced hypertension,SNOMED
44784483,698638005,Pregnancy induced hypertension with pulmonary edema,SNOMED
4221991,84094009,Rebound hypertension,SNOMED
4305599,39018007,Renal arterial hypertension,SNOMED
443771,28119000,Renal hypertension,SNOMED
197930,198949009,"Renal hypertension complicating pregnancy, childbirth and the puerperium",SNOMED
200157,198951008,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered",SNOMED
201912,198952001,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication",SNOMED
192684,198953006,"Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered",SNOMED
4032952,14973001,Renal sclerosis with hypertension,SNOMED
317895,123799005,Renovascular hypertension,SNOMED
37208172,461301000124109,Resistant hypertensive disorder,SNOMED
4253928,74451002,Secondary diastolic hypertension,SNOMED
319826,31992008,Secondary hypertension,SNOMED
44809027,843841000000109,Severe hypertension (NICE - National Institute for Health and Clinical Excellence 2011),SNOMED
433536,46764007,Severe pre-eclampsia,SNOMED
438490,198983002,Severe pre-eclampsia - delivered,SNOMED
439077,198984008,Severe pre-eclampsia - delivered with postnatal complication,SNOMED
132685,198985009,Severe pre-eclampsia - not delivered,SNOMED
4057976,198986005,Severe pre-eclampsia with postnatal complication,SNOMED
